Category,Message
0,идти jurong point crazy доступно bugis n great world la e buffet cine there amore wat
0,около лара шутить
1,бесплатный запись wkly comp выиграть финал cup cup tkts май год текст fa получение вопрос вход std txt
0,сказать рано сказать
0,думать идти usf жить хотя
1,freemsg привет дорогой неделя слово назад всё ещё хотеть повеселиться tb ok xxx std chgs отправка фунт стерлинг rcv
0,брат похожий говорить относиться патент спид
0,согласно ваш запрос мелля мелля ор миннаминунгинт нурунг веттам установить качество callertune весь вызывающий абонент нажать скопировать свой друг callertune
1,победитель качество ценный клиент сеть выбрать получение призовой вознаграждение фунт стерлинг требовать звонок код претензия kl действительно час
1,ваш мобильный телефон месяц u r иметь право обновление последний цветовой мобильный телефон камера бесплатно позвонить мобильный обновление co бесплатно
0,скоро дом хотеть большой говорить это сегодня вечером k плакать достаточно сегодня
1,шесть шанс выиграть деньга фунт txt csh отправить стоимость пенсовдеть день tsandc применить ответ hl информация
1,срочный выиграть недельный бесплатный членство наш джекпот размер фунт стерлинг txt the word претензия t c wwwdbuknet lccltd pobox ldnwarw
0,искать правильный слово поблагодарить это передышка обещать воспринимать ваш помощь должное выполнить свой обещание замечательный благословение
0,свидание воскресение уиллом
1,xxxmobilemovieclub использовать свой кредит нажать ссылка wap следующий сообщение txt нажать wap xxxmobilemovieclubcomnqjkgighjjgcbl
0,смотреть
0,эх помнить написать имя сделать делать пока смокнуть
0,это чувствовать это gota b
1,англия против македония пропустить голыновость команда txt ur sational team eg anglas
0,это серьёзно писать имя
0,собираться попробовать течение месяц ха ха шутка
0,итак ü заплатить сначала ar это акция da comin
0,заканчивать свой обед уходить вниз лор ard smth lor закончить свой обед
0,ffffffffff смочь встретиться ранний
0,просто заставить съесть кусочек действительно голодный это отстой марк обеспокоить знать больной отказываться пицца ржа мочь
0,лола убедительный
0,сесть автобус жарить яйцо делать чай свой мама ужин чувствовать любовь
0,вернуться amp упаковывать машина дать знать место
0,ааааааааааааааааааааааааааааааааааааааааааааа работа смутно помнить это каковой это ржа мочь
0,подождать это всё ещё ясно уверить саркастичный поэтому x хотеть жить
0,войти извиняться n выпасть актин избаловать ребёнок попасть это пойти туда слишком плохо уравновешивать
0,k рассказать нибыть
0,боязнь обморок весь работа дом который сделать быстро иметь чашка чай
