Category,Message
0,"Идите до Jurong Point, Crazy ... доступно только в Bugis n Great World La E Buffet ... Cine There Amore Wat ..."
0,"ОК, Лар ... шутить, что ты, он ..."
1,"Бесплатная запись в 2 Wkly Comp, чтобы выиграть финал Cup Cup Tkts 21 мая 2005 года. Текст FA на 87121 для получения вопроса о входе (STD TXT)."
0,Ты так скажешь так рано ... ты уже сказал ...
0,"Нет, я не думаю, что он идет в USF, он живет здесь, хотя"
1,"Freemsg Привет, дорогая, сейчас было 3 недели, и нет ни слова назад! Я все еще хочу повеселиться? TB OK! Xxx std chgs для отправки, 1,50 фунтов стерлингов на RCV"
0,"Даже мой брат не похож на то, чтобы говорить со мной. Они относятся ко мне как к патенту на СПИД."
0,"Согласно вашему запросу «Мелль Мелль (Ору Миннаминунгинте Нурунгу Веттам)» был установлен в качестве Callertune для всех вызывающих абонентов. Нажмите *9, чтобы скопировать своих друзей Callertune"
1,Победитель !! В качестве ценного клиента сети вы были выбраны для получения призового вознаграждения за 900 фунтов стерлингов! Чтобы требовать звонка 09061701461. Код претензии KL341. Действительно только 12 часов.
1,Был ваш мобильный телефон 11 месяцев или более? U R имеет право на обновление до последних цветовых мобильных телефонов с камерой бесплатно! Позвоните в мобильное обновление CO бесплатно 08002986030
0,"Я скоро буду дома, и я не хочу больше говорить об этом сегодня вечером, k? Я плакал достаточно сегодня."
1,"Шесть шансов выиграть деньги! От 100 до 20 000 фунтов TXT> CSH11 и отправьте на 87575. Стоимость 150 пенсов/день, 6 дней, 16+ TSANDC. Примените ответ HL 4 Информация"
1,СРОЧНЫЙ! Вы выиграли 1 -недельное бесплатное членство в нашем джекпоте в размере 100 000 фунтов стерлингов! Txt the Word: претензия к №: 81010 T & C www.dbuk.net lccltd pobox 4403ldnw1a7rw18
0,"Я искал правильные слова, чтобы поблагодарить вас за это передышку. Я обещаю, что не буду воспринимать вашу помощь как должное и выполню свое обещание. Вы были замечательными и всегда благословением."
0,У меня свидание в воскресенье с Уиллом !!
